Product Name,Shipment,SKU,Qty,Unit cost (CAD),Shipping cost (CAD),Total cost (CAD),Unit cost (HKD),Shipping cost (HKD),Total cost (HKD)
Stedi Ultra Fine Short Polishing File 600-800 grit,,MS-46,1,1.5,0.71,2.21,7.58,3.61,11.19
Stedi MS-63 Gun & Iron metal,,MS-63,3,1.43,2.04,6.33,7.22,10.32,31.98
Stedi MS-64 Black Iron,,MS-64,5,1.43,3.41,10.56,7.22,17.2,53.3
Stedi MS-65 Zirconium Black,,MS-65,1,1.43,0.68,2.11,7.22,3.44,10.66
Stedi MS-67 Dark Gold,,MS-67,2,1.43,1.36,4.22,7.22,6.88,21.32
Stedi MS-70 Metallic Space Aluminum,,MS-70,4,1.43,2.72,8.44,7.22,13.76,42.64
Stedi MS-71 Metallic Titanium Steel,,MS-71,3,1.43,2.04,6.33,7.22,10.32,31.98
Stedi MS-72 Metallic Tungsten,,MS-72,1,1.43,0.68,2.11,7.22,3.44,10.66
Stedi MS-74 Metallic Black Iron,,MS-74,3,1.43,2.04,6.33,7.22,10.32,31.98
Stedi MS-75 Metallic Zirconium,,MS-75,1,1.43,0.68,2.11,7.22,3.44,10.66
Stedi MS-76 Metallic Red Copper,,MS-76,8,1.43,5.45,16.89,7.22,27.52,85.28
"Stedi Anti-Static Brush (Soft, Small Head)",,MS-82,1,1.78,0.85,2.63,8.99,4.28,13.27
"Stedi Anti-Static Brush (Bristle, Large Head)",,MS-83,3,2.16,3.09,9.57,10.91,15.59,48.32
Thin Sponge Sandpaper 20mm x 80mm 400-600 grit,,MS-A1,1,1.75,0.83,2.58,8.84,4.21,13.05
Thin Sponge Sandpaper 20mm x 80mm 600-800 grit,,MS-A2,2,1.75,1.67,5.17,8.84,8.42,26.1
Thin Sponge Sandpaper 20mm x 80mm 1000-1200 grit,,MS-A3,1,1.75,0.83,2.58,8.84,4.21,13.05
2mm Sponge Sandpaper package 1000-1200 / 1200-1500 / 2000-2500,Air,MS-AT2,5,2.63,6.26,19.41,13.28,31.64,98.04
Adhesive Sandpaper 20mm x 80mm 800 grit,,MS-B800,2,1.27,1.21,3.75,6.41,6.11,18.93
Adhesive Sandpaper package 20mm x 80mm 1000 / 1200 / 1500 grit,,MS-BT2,1,1.78,0.85,2.63,8.99,4.28,13.27
Carbon Fiber Sanding Board 20/15/5 x 80mm,,MS-D2,3,2.03,2.9,8.99,10.25,14.65,45.4
Sanding stick 1200 grit x 3,,MS-E1200,2,1.32,1.26,3.9,6.67,6.35,19.69
Sanding stick 1500 grit x 3,,MS-E1500,1,1.32,0.63,1.95,6.67,3.18,9.85
Sanding stick 600 grit x 3,,MS-E600,1,1.32,0.63,1.95,6.67,3.18,9.85
Aluminum Sanding Plate (Red) 3 different size,,MS-JD3R,1,2.08,0.99,3.07,10.51,5,15.51
