Vendor,"Product Name",SKU,Qty,"Unit cost (CAD)","Shipping cost (CAD)","Total cost (CAD)","Unit cost (HKD)","Shipping cost (HKD)","Total cost (HKD)"
Dspiae,"Stedi Panel Liner MP-28 Fluorescent White",MP-28,4,2.56,0.69,3.25,12.95,3.49,16.44
Dspiae,"Scribing Tape 3mm",MS-03,8,1.13,0.30,1.43,5.69,1.52,7.21
Dspiae,"Beginner's single blade nipper",MS-104,30,6.04,1.63,7.67,30.49,8.23,38.72
Dspiae,"Double-edged modeling nipper",MS-112,2,11.02,2.97,13.99,55.65,15.00,70.65
Dspiae,"Stedi Tweezers (Curve)",MS-12,6,3.31,0.89,4.20,16.70,4.50,21.20
Dspiae,"Stedi Tweezers (Point)",MS-14,1,3.31,0.89,4.20,16.70,4.50,21.20
Dspiae,"Stedi Tweezers (Curve Point)",MS-15,4,3.31,0.89,4.20,16.70,4.50,21.20
Dspiae,"Stedi Tweezers (Curve Flat)",MS-16,1,3.86,1.04,4.90,19.47,5.25,24.72
Dspiae,"Stedi Tweezers (Curve)",MS-17,4,3.86,1.04,4.90,19.47,5.25,24.72
Dspiae,"Model 6mm pen knife set (with 15 carbon steel blades)",MS-22,10,5.58,1.50,7.08,28.20,7.58,35.78
Dspiae,"Stedi Tungsten Steel Needle",MS-23,16,5.10,1.37,6.47,25.74,6.92,32.66
Dspiae,"6mm carbon steel blades",MS-29,5,1.10,0.30,1.40,5.53,1.52,7.05
Dspiae,"Stedi Pusher 0.15 mm",MS-33,6,7.87,2.12,9.99,39.73,10.71,50.44
Dspiae,"Stedi Pusher 0.2 mm",MS-34,4,7.96,2.14,10.10,40.19,10.81,51.00
Dspiae,"Stedi Pusher Handle (Blue)",MS-39B,2,7.99,2.15,10.14,40.35,10.86,51.21
Dspiae,"Stedi Pusher Handle (Green)",MS-39G,1,7.99,2.15,10.14,40.35,10.86,51.21
Dspiae,"Stedi Pusher Handle (Orange)",MS-39O,1,7.99,2.15,10.14,40.35,10.86,51.21
Dspiae,"Scriber handle (Red)",MS-39R,1,7.99,2.15,10.14,40.35,10.86,51.21
Dspiae,"Stedi MS-58 Joint Reinforcement",MS-58,6,1.37,0.37,1.74,6.95,1.87,8.82
Dspiae,"2mm Sponge Sandpaper package 400-600 / 600-800 / 1000-1200",MS-AT1,7,2.84,0.76,3.60,14.36,3.84,18.20
Dspiae,"50ml bottles with 0.3mm needle (3 bottles & 3 needles)",MS-B50,1,2.01,0.54,2.55,10.13,2.73,12.86
Dspiae,"Adhesive Sandpaper package 20mm x 80mm 400 / 600 / 800 grit",MS-BT1,1,1.92,0.52,2.44,9.71,2.63,12.34
Dspiae,"Adhesive Sandpaper 20mm x 80mm package 400 / 600 / 800 / 1000 / 1200 / 1500 grit",MS-BT3,2,1.92,0.52,2.44,9.71,2.63,12.34
Dspiae,"Carbon Fiber Detail Sanding Plate Set",MS-D4,1,1.93,0.52,2.45,9.77,2.63,12.40
Dspiae,"3mm Sponge Sandpaper package 400 / 600 / 800 grit x 5",MS-DT1,2,2.84,0.76,3.60,14.36,3.84,18.20
Dspiae,"3mm Sponge Sandpaper package 1000 / 1200 / 1500 grit x 5",MS-DT2,4,2.84,0.76,3.60,14.36,3.84,18.20
Dspiae,"Sanding stick 400 / 600 / 800 grit x 2",MS-E1,5,1.80,0.48,2.28,9.08,2.42,11.50
Dspiae,"Dspiae Masking Tape - 2mm",MT-02,1,0.81,0.22,1.03,4.07,1.11,5.18
Dspiae,"Dspiae Masking Tape - 3mm",MT-03,2,0.81,0.22,1.03,4.07,1.11,5.18
Dspiae,"Dspiae Masking Tape - 5mm",MT-05,4,0.81,0.22,1.03,4.07,1.11,5.18
Dspiae,"Dspiae Masking Tape - 10mm",MT-10,1,1.03,0.28,1.31,5.22,1.41,6.63
Dspiae,"Dspiae Masking Tape - 20mm",MT-20,1,1.37,0.37,1.74,6.95,1.87,8.82
Dspiae,"Dspiae Model Parts Detacher",PT-MPS,14,3.59,0.97,4.56,18.12,4.90,23.02
Dspiae,"XG-002 - Super Black 1 - DSPIAE - 50ml",XG-002,2,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XG-003 - Sci-fi White 1 - DSPIAE - 50ml",XG-003,1,3.40,0.92,4.32,17.18,4.65,21.83
Dspiae,"XG-004 - Sci-fi White 2 - DSPIAE - 50ml",XG-004,4,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XG-005 - Sci-fi White 3 - DSPIAE - 50ml",XG-005,1,3.40,0.92,4.32,17.18,4.65,21.83
Dspiae,"XG-007 - Mecha Dark Grey - DSPIAE - 50ml",XG-007,3,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XG-102 - Mecha Red 2 - DSPIAE - 50ml",XG-102,1,3.40,0.92,4.32,17.18,4.65,21.83
Dspiae,"XG-105 - Rouge Red 1 - DSPIAE - 50ml",XG-105,1,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-202 - Orange Yellow 1 - DSPIAE - 50ml",XG-202,1,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XG-301 - Real Green 1 - DSPIAE - 50ml",XG-301,1,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-306 - Turquoise Green 2 - DSPIAE - 50ml",XG-306,1,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-402 - Designer Blue 2 - DSPIAE - 50ml",XG-402,1,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-404 - Cosmic Blue 1 - DSPIAE - 50ml",XG-404,1,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-405 - Cosmic Blue 2 - DSPIAE - 50ml",XG-405,1,3.40,0.92,4.32,17.18,4.65,21.83
Dspiae,"XG-501 - Mecha Purple 1 - DSPIAE - 50ml",XG-501,2,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-502 - Mecha Purple 2 - DSPIAE - 50ml",XG-502,1,3.35,0.90,4.25,16.92,4.55,21.47
Dspiae,"XG-901 - Gloss Topcoat - DSPIAE - 50ml",XG-901,7,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XG-902 - Semi-gloss Topcoat - DSPIAE - 50ml",XG-902,1,3.40,0.92,4.32,17.18,4.65,21.83
Dspiae,"XG-903 - Matte Topcoat - DSPIAE - 50ml",XG-903,11,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XPS-01 - White Surfacer Primer -  DSPIAE - 50ML",XPS-01,9,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"XPS-02 - Gray Surfacer Primer -  DSPIAE - 50ML",XPS-02,7,3.69,0.99,4.68,18.63,5.00,23.63
Dspiae,"Dspiae Pre Mixed Paint - Metallic Red (XSM-001)",XSM-001,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Crimson (XSM-002)",XSM-002,7,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Emerald Green (XSM-003)",XSM-003,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Teal (XSM-004)",XSM-004,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Sea Blue (XSM-005)",XSM-005,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Blue (XSM-006)",XSM-006,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Deep Space Blue (XSM-007)",XSM-007,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Metallic Purple (XSM-008)",XSM-008,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Shimmering Gold (XSM-101)",XSM-101,7,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Gold Plating (XSM-102)",XSM-102,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Champagne Gold (XSM-003)",XSM-103,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Shimmering Brass (XSM-104)",XSM-104,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Titanium Gold (XSM-105)",XSM-105,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Brownish Gold (XSM-106)",XSM-106,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Burnt Gold (XSM-107)",XSM-107,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Elegant Gold (XSM-108)",XSM-108,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Shimmering Champagne Silver (XSM-201)",XSM-201,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Silver (XSM-202)",XSM-202,5,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Dark Steel (XSM-203)",XSM-203,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Dark Iron (XSM-204)",XSM-204,8,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Siderite (XSM-205)",XSM-205,6,3.89,1.05,4.94,19.63,5.30,24.93
Dspiae,"Dspiae Pre Mixed Paint - Burnt Iron (XSM-206)",XSM-206,6,3.89,1.05,4.94,19.63,5.30,24.93
Stedi,"Stedi DMM-22 Metallic Copper",DMM-22,2,1.36,0.65,2.01,6.87,3.28,10.15
Stedi,"Stedi MC-08 Matte Armor White",MC-08,1,1.14,0.54,1.68,5.76,2.73,8.49
Stedi,"Stedi MC-09 Matte Orange",MC-09,1,1.14,0.54,1.68,5.76,2.73,8.49
Stedi,"Stedi MMC-01 Zirconium Silver",MMC-01,1,1.52,0.72,2.24,7.68,3.64,11.32
Stedi,"Stedi MMC-03 Frame Metal",MMC-03,1,1.52,0.72,2.24,7.68,3.64,11.32
Stedi,"Seepage line wiper pen (Blue)",MP-02B,5,3.23,1.54,4.77,16.31,7.78,24.09
Stedi,"Stedi Panel Liner MP-20 Fluorescent Orange",MP-20,1,2.29,1.09,3.38,11.57,5.51,17.08
Stedi,"Stedi Panel Liner MP-25 Fluorescent Purple",MP-25,1,2.29,1.09,3.38,11.57,5.51,17.08
Stedi,"6MM Scribing Tape",MS-06,5,1.31,0.62,1.93,6.62,3.13,9.75
Stedi,"Stedi Fine Brush Size 1",MS-132,1,1.50,0.71,2.21,7.58,3.59,11.17
Stedi,"Stedi Brush Size 1",MS-134,1,1.50,0.71,2.21,7.58,3.59,11.17
Stedi,"Stedi Brush Size 2",MS-135,1,1.50,0.71,2.21,7.58,3.59,11.17
Stedi,"Stedi Scriber 1 mm",MS-150,1,4.62,2.20,6.82,23.34,11.11,34.45
Stedi,"Stedi Tungsten Steel Drill Bits set 1.0 / 1.5 / 2.0 / 2.5 / 3.0 mm",MS-158,3,4.27,2.03,6.30,21.57,10.25,31.82
Stedi,"Hand Drill Handle (Red)",MS-25,2,6.60,3.14,9.74,33.34,15.86,49.20
Stedi,6975400113497,MS-25B,1,6.60,3.14,9.74,33.34,15.86,49.20
Stedi,"Stedi Tungsten Steel Needle 1.5 mm",MS-27,1,1.52,0.72,2.24,7.68,3.64,11.32
Stedi,"Stedi Pusher Handle (Black)",MS-39H,5,7.19,3.42,10.61,36.32,17.27,53.59
Stedi,"Stedi Ultra Fine Short Polishing 10000 grit",MS-43,3,1.50,0.71,2.21,7.58,3.59,11.17
Stedi,"Stedi Ultra Fine Short Polishing File 600-800 grit",MS-46,1,1.50,0.71,2.21,7.58,3.59,11.17
Stedi,"Stedi MS-63 Gun & Iron metal",MS-63,3,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-64 Black Iron",MS-64,5,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-65 Zirconium Black",MS-65,1,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-67 Dark Gold",MS-67,2,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-70 Metallic Space Aluminum",MS-70,4,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-71 Metallic Titanium Steel",MS-71,3,1.43,0.68,2.11,7.22,3.43,10.65
